data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
training,2018-09-19 19:53:42.622678,thanos::sroute:4029a8a2-6c74-4b7e-a6d8-f9e069fbcea9,FTL,trip-153738682262223442,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-20 06:25:35.030407,2018-09-22 12:34:55.785460,3249.0,True,726,2018-09-21 17:30:28,728.6263509422683,1104.0,677.0,867.4329,1.6307237813884785,24.0,60.0,57.5247,0.4
test,2018-09-30 21:35:40.496716,thanos::sroute:6d47cbd0-4a47-428a-bd44-c437458c5e1c,Carting,trip-153834334049646174,IND643217AAA,Kotagiri_CroslySRT_D (Tamil Nadu),IND643001AAA,Ooty_Davisdle_D (Tamil Nadu),2018-10-01 01:47:04.689197,2018-10-01 02:49:24.487741,62.0,False,16,2018-10-01 01:56:34,16.068735386002505,50.0,51.0,42.6113,0.9803921568627452,17.0,65.0,57.432300000000005,0.2615384615384615
training,2018-09-22 22:20:31.270185,thanos::sroute:bcce7b68-e962-4a29-af24-167e3e926d04,FTL,trip-153765483126993361,IND781018AAB,Guwahati_Hub (Assam),IND110037AAM,Delhi_Airport_H (Delhi),2018-09-22 22:20:31.270185,2018-09-25 07:25:33.192343,3425.0,True,902,2018-09-23 22:53:19,903.5914546293644,1898.0,790.0,1069.0022,2.40253164556962,27.0,19.0,27.687900000000003,1.4210526315789471
training,2018-09-24 22:11:31.529476,thanos::sroute:db3c468a-dd4e-4646-ae40-eb4d1a4d23d7,FTL,trip-153782709152920993,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),2018-09-24 22:11:31.529476,2018-09-25 04:49:46.276408,398.0,True,88,2018-09-25 02:45:21,88.03928616994716,118.0,80.0,108.365,1.475,32.0,19.0,25.0367,1.6842105263157894
training,2018-09-18 13:16:59.957311,thanos::sroute:4d5c8dc5-b60e-4450-a4fe-c83bd859405f,Carting,trip-153727661995707913,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-18 13:16:59.957311,2018-09-18 16:52:03.307928,215.0,False,40,2018-09-18 14:09:20,40.05050161660945,110.0,58.0,46.6624,1.896551724137931,10.0,5.0,2.6077,2.0
training,2018-09-17 00:51:56.663373,thanos::sroute:360c8c95-b138-43ad-a0b5-f615fe1eba15,FTL,trip-153714551666313028,IND713148AAA,Panagarh_Central_D_1 (West Bengal),IND713128AAB,Guskhara_Itachnda_D (West Bengal),2018-09-17 04:49:52.773085,2018-09-17 06:31:04.338427,101.0,False,28,2018-09-17 05:01:54,28.67440546573543,72.0,34.0,39.7217,2.117647058823529,28.0,8.0,11.7944,3.5
training,2018-09-26 05:01:16.159877,thanos::sroute:d44a95bc-1d78-49aa-a987-ea5763aa2cbe,FTL,trip-153793807615959201,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-26 05:01:16.159877,2018-09-27 13:15:13.376873,1933.0,True,528,2018-09-27 00:46:10,528.1539565164641,747.0,524.0,682.7554,1.4255725190839694,21.0,25.0,24.0863,0.84
training,2018-09-17 20:13:43.436909,thanos::sroute:da9dfb1c-ec9b-40c6-86dd-07fcf69c958e,FTL,trip-153721523979327592,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND413002AAA,Solapur_Central_I_2 (Maharashtra),2018-09-17 20:13:43.436909,2018-09-18 09:50:03.939235,816.0,True,220,2018-09-18 04:29:21,220.21997071978996,312.0,177.0,247.3617,1.7627118644067796,42.0,22.0,28.7651,1.9090909090909087
training,2018-09-20 03:55:08.466967,thanos::sroute:9ded028c-c5e5-48f8-90f4-1669fef15db0,FTL,trip-153741570846660098,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),2018-09-20 03:55:08.466967,2018-09-20 16:21:38.638345,746.0,True,66,2018-09-20 13:31:17,66.81735296941928,164.0,55.0,77.38380000000001,2.981818181818182,42.0,16.0,23.319,2.625
training,2018-09-12 05:56:16.220322,thanos::sroute:c5b68ed0-0bbf-4b00-838d-274933acb6bf,Carting,trip-153673177622009920,IND302014AAB,Jaipur_Central_I_7 (Rajasthan),IND302006AAA,Jaipur (Rajasthan),2018-09-12 05:56:16.220322,2018-09-12 08:27:24.552751,151.0,False,12,2018-09-12 07:49:31,12.106787423322,29.0,18.0,17.8243,1.6111111111111112,3.0,14.0,9.3943,0.2142857142857142
training,2018-09-14 01:02:58.643475,thanos::sroute:df8d7098-cfd9-48f3-9bf3-a3144a434a55,FTL,trip-153688697864318554,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-14 01:02:58.643475,2018-09-15 01:24:06.692424,1461.0,True,506,2018-09-14 13:36:11,506.1074090093233,668.0,417.0,570.6874,1.6019184652278178,26.0,21.0,27.644,1.238095238095238
training,2018-09-20 13:01:49.234853,thanos::sroute:9d80b949-2d55-4578-b0ee-881d4bfcc097,FTL,trip-153744850923460655,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-20 13:01:49.234853,2018-09-22 10:06:50.965769,2705.0,True,132,2018-09-22 05:41:56,132.2179730925393,262.0,179.0,206.7365,1.4636871508379887,52.0,82.0,80.6959,0.6341463414634146
test,2018-10-03 03:40:23.233632,thanos::sroute:870bead8-6c8a-458f-b4d8-658de44bc675,FTL,trip-153853802323338798,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND834002AAB,Ranchi_Hub (Jharkhand),2018-10-03 03:40:23.233632,2018-10-04 09:02:02.692274,1761.0,True,858,2018-10-03 09:56:35,858.0240099309095,1304.0,714.0,1007.5551,1.826330532212885,27.0,19.0,26.7728,1.4210526315789471
training,2018-09-25 19:23:10.811138,thanos::sroute:32d7b4f2-b226-4919-a152-2fbd0d1bd99a,Carting,trip-153790339081089293,IND741156AAA,Plassey_BtaiRoad_D (West Bengal),IND742102AAB,Berhampore_Central_I_2 (West Bengal),2018-09-26 06:48:57.715915,2018-09-26 09:41:44.021808,172.0,True,18,2018-09-26 08:01:56,19.747181776822064,60.0,17.0,23.4557,3.5294117647058822,39.0,7.0,10.1598,5.571428571428571
training,2018-09-26 06:56:02.349333,thanos::sroute:af98cdd4-12f0-4db2-9413-0caca8c783a8,FTL,trip-153794496234909575,IND461111AAA,Itarsi_DivrsnRd_D (Madhya Pradesh),IND460001AAA,Betul_PatelWrd_D (Madhya Pradesh),2018-09-26 11:39:37.300888,2018-09-26 14:25:10.187287,165.0,True,44,2018-09-26 12:38:22,44.58407426980712,72.0,36.0,49.2097,2.0,40.0,18.0,25.6987,2.2222222222222223
training,2018-09-16 03:41:59.653696,thanos::sroute:2388fa83-d946-4a05-86eb-714912952893,Carting,trip-153706931965332853,IND224141AAB,Gosainganj_Pakrela_D (Uttar Pradesh),IND224122AAA,Akbarpur_Auliyapr_D (Uttar Pradesh),2018-09-16 11:48:52.292402,2018-09-16 13:33:50.702545,104.0,True,18,2018-09-16 12:33:54,18.754941465618582,43.0,15.0,21.1792,2.8666666666666667,13.0,6.0,9.0717,2.1666666666666665
training,2018-09-20 16:35:00.283651,thanos::sroute:cd69fb4c-8a2d-4885-b9ff-c4819c6582a7,FTL,trip-153746130028342387,IND472001AAA,Tikamgarh_MndiRoad_D (Madhya Pradesh),IND485001AAC,Satna_Central_I_2 (Madhya Pradesh),2018-09-21 05:53:10.274837,2018-09-21 13:11:32.674211,438.0,True,198,2018-09-21 06:14:13,205.4345548288494,405.0,183.0,239.5237,2.2131147540983607,51.0,28.0,31.3638,1.8214285714285716
training,2018-09-23 22:33:30.538708,thanos::sroute:54a7c356-361d-4e74-9ee7-d420c3712de6,FTL,trip-153774201053841850,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND302014AAA,Jaipur_Hub (Rajasthan),2018-09-23 22:33:30.538708,2018-09-26 00:38:17.126605,3004.0,True,594,2018-09-25 06:11:51,594.8471806410784,1040.0,545.0,735.6379000000001,1.908256880733945,33.0,18.0,26.247400000000003,1.8333333333333333
training,2018-09-19 17:34:56.509698,thanos::sroute:a1b25549-1e77-498f-8538-00292e5bd5a2,FTL,trip-153737849650943585,IND751002AAB,Bhubaneshwar_Hub (Orissa),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2018-09-21 11:48:48.982970,2018-09-22 05:54:19.059015,1085.0,True,330,2018-09-21 14:17:22,331.1441850177565,817.0,294.0,393.0005,2.7789115646258504,25.0,16.0,23.9806,1.5625
training,2018-09-14 23:30:39.027272,thanos::sroute:c321b367-aaaa-4a05-96bf-452a22f50609,Carting,trip-153696784117362845,IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),IND401208AAA,Nalasopara (Maharashtra),2018-09-14 23:30:39.027272,2018-09-15 00:48:25.499250,77.0,True,9,2018-09-15 00:13:54,9.78291835031246,26.0,11.0,14.3436,2.363636363636364,26.0,11.0,14.3436,2.363636363636364
training,2018-09-19 13:57:27.381181,thanos::sroute:3def24ea-f80d-4d49-b450-720dc5d13d04,FTL,trip-153736544738083508,IND395023AAA,Surat_HUB (Gujarat),IND110037AAM,Delhi_Airport_H (Delhi),2018-09-19 13:57:27.381181,2018-09-21 00:06:10.023895,2048.0,True,264,2018-09-20 15:38:10,264.5861471087977,449.0,228.0,299.4926,1.969298245614035,27.0,18.0,26.1277,1.5
test,2018-09-29 19:57:30.105027,thanos::sroute:fee28815-45f7-4377-8879-0d13d2d34708,FTL,trip-153825105010477908,IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),IND533262AAA,Draksharamam_Anaipeta_D (Andhra Pradesh),2018-09-29 19:57:30.105027,2018-09-29 23:30:10.617581,212.0,True,22,2018-09-29 22:35:29,23.150278350522694,41.0,24.0,26.6249,1.7083333333333333,41.0,24.0,26.6249,1.7083333333333333
training,2018-09-17 21:05:47.178006,thanos::sroute:95390c11-b18d-4f05-84c3-0e2e864b7da1,FTL,trip-153721834717774994,IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),2018-09-18 21:51:55.099872,2018-09-19 14:13:01.639757,981.0,True,308,2018-09-19 04:33:26,308.48400051499215,503.0,252.0,354.9608,1.996031746031746,57.0,21.0,30.289900000000003,2.7142857142857144
training,2018-09-21 00:06:15.568227,thanos::sroute:cddde595-4764-4102-b5e2-2687cde064fa,FTL,trip-153748837556800825,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND751002AAB,Bhubaneshwar_Hub (Orissa),2018-09-21 00:06:15.568227,2018-09-22 06:05:38.867092,1799.0,True,154,2018-09-22 02:33:21,154.573403621724,198.0,120.0,170.3734,1.65,10.0,7.0,11.1806,1.4285714285714286
test,2018-09-27 06:36:52.677605,thanos::sroute:14c55592-ba2e-4f72-820c-3a22334137cd,FTL,trip-153803021267734577,IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-28 18:53:53.197246,2018-09-29 14:01:45.100155,1147.0,True,550,2018-09-28 22:56:31,550.2869987462421,903.0,561.0,780.7378,1.609625668449198,48.0,26.0,37.0503,1.8461538461538465
test,2018-09-27 14:44:33.802060,thanos::sroute:a9af5fc9-2972-4795-b7a7-9fd3cc07c942,FTL,trip-153805947380180455,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND142001AAB,Moga_DPC (Punjab),2018-09-27 14:44:33.802060,2018-09-27 20:54:07.531329,369.0,True,132,2018-09-27 17:28:12,132.51927814888808,199.0,103.0,143.555,1.9320388349514563,36.0,16.0,23.4361,2.25
training,2018-09-12 14:17:28.480185,thanos::sroute:5a4de5b6-dae8-4836-b764-491712d8bcea,Carting,trip-153676184847965228,IND000000ACT,Delhi_Gateway_HB (Delhi),IND131028AAB,Sonipat_Kundli_H (Haryana),2018-09-12 15:51:53.732047,2018-09-12 20:08:43.529526,256.0,True,18,2018-09-12 18:11:19,18.681107837351792,46.0,30.0,21.0427,1.5333333333333334,26.0,7.0,7.3886,3.7142857142857135
training,2018-09-20 01:11:48.929044,thanos::sroute:b43ec86d-59c1-452c-b4a9-807d3574e5bf,FTL,trip-153740590892881451,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),2018-09-20 01:11:48.929044,2018-09-20 19:41:14.114206,1109.0,True,440,2018-09-20 07:18:04,441.0890835034524,697.0,417.0,552.8299000000001,1.671462829736211,26.0,16.0,22.9286,1.625
training,2018-09-23 19:03:51.605060,thanos::sroute:69633991-6513-4476-9b36-99f82c3bd929,FTL,trip-1537729431604671000,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND444005AAB,Akola_Gaurkshn_I (Maharashtra),2018-09-23 19:03:51.605060,2018-09-24 15:12:52.841871,1209.0,True,242,2018-09-24 05:11:21,244.1750916639919,580.0,214.0,301.1481,2.710280373831776,8.0,9.0,13.5176,0.8888888888888888
training,2018-09-21 20:26:40.738646,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153756160073825275,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),2018-09-21 20:26:40.738646,2018-09-22 00:07:38.914550,220.0,False,40,2018-09-21 22:41:17,40.61842094388043,74.0,55.0,53.2518,1.3454545454545457,42.0,29.0,26.9178,1.4482758620689655
training,2018-09-21 05:02:49.303239,thanos::sroute:25dd334d-e30d-4cfa-b6e8-192bcfe84fcc,FTL,trip-153750616930299040,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND751002AAB,Bhubaneshwar_Hub (Orissa),2018-09-21 05:02:49.303239,2018-09-21 17:06:57.918013,724.0,True,44,2018-09-21 15:55:23,44.82793733467093,65.0,36.0,51.1043,1.805555555555556,29.0,17.0,25.3609,1.7058823529411764
test,2018-10-01 19:33:49.357258,thanos::sroute:5dab33f4-f9fa-4e1f-82d7-f94a440e6ab0,Carting,trip-153842242935704281,IND673305AAA,Koyilandy_Pshrikvu_D (Kerala),IND673104AAA,Vadakara_Mandodi_D (Kerala),2018-10-02 00:35:05.060959,2018-10-02 01:20:45.695710,45.0,False,19,2018-10-02 00:35:30,19.69367634617901,42.0,23.0,22.0462,1.826086956521739,12.0,1.0,1.5051,12.0
training,2018-09-25 12:08:42.839366,thanos::sroute:00a74fab-a3ac-44df-b83a-cbf181b4cd94,FTL,trip-153787732283908843,IND853204AAA,Naugchia_Vijayght_D (Bihar),IND851204AAA,Khagaria_GodamDPP_D (Bihar),2018-09-26 00:47:10.563739,2018-09-26 02:49:52.793338,122.0,False,59,2018-09-26 00:58:21.390815,59.45742733334869,101.0,46.0,65.065,2.1956521739130435,31.0,12.0,17.0667,2.583333333333333
training,2018-09-14 02:19:38.973431,thanos::sroute:2bfa1b7a-b56e-4482-b96e-7cf93619e9cb,Carting,trip-153689157897318487,IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),IND600110AAA,Chennai_Madhavaram_L (Tamil Nadu),2018-09-14 02:19:38.973431,2018-09-14 06:22:46.665147,243.0,True,18,2018-09-14 05:29:27,20.144523865579544,31.0,25.0,22.4466,1.24,11.0,10.0,11.3453,1.1
training,2018-09-15 21:24:28.108007,thanos::sroute:34d22645-7636-4543-90f0-fc444f3e319b,FTL,trip-153704666810685062,IND135001AAA,YamunaNagar_DC (Haryana),IND173025AAA,PaontSahib_Gurudwar_D (Himachal Pradesh),2018-09-16 06:43:26.078127,2018-09-16 09:10:26.756767,147.0,False,45,2018-09-16 07:08:16,45.68925414387394,111.0,46.0,58.8717,2.4130434782608696,2.0,1.0,0.991,2.0
training,2018-09-23 19:33:19.072111,thanos::sroute:4029a8a2-6c74-4b7e-a6d8-f9e069fbcea9,FTL,trip-153773119907185732,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-24 10:05:17.740347,2018-09-26 07:37:01.123430,2731.0,True,1122,2018-09-25 03:33:12,1128.2184163938234,1679.0,1037.0,1374.9672,1.6190935390549663,72.0,50.0,71.99860000000001,1.44
training,2018-09-13 03:36:18.529651,thanos::sroute:25dd334d-e30d-4cfa-b6e8-192bcfe84fcc,FTL,trip-153680977852943421,IND751002AAB,Bhubaneshwar_Hub (Orissa),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-13 16:41:26.103122,2018-09-15 09:27:06.797387,2445.0,True,946,2018-09-13 22:57:26,946.6471680551224,2049.0,852.0,1141.9992,2.4049295774647885,27.0,20.0,29.4734,1.35
training,2018-09-20 22:43:24.142240,thanos::sroute:d26c2fa7-68f9-4eb7-ba6e-ef9eb670aa6a,FTL,trip-153748340414198209,IND502220AAC,Zahirabad_Mohim_D (Telangana),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),2018-09-21 07:53:39.074326,2018-09-21 10:51:49.288935,178.0,False,96,2018-09-21 08:06:50.349291,96.33915544743684,160.0,128.0,147.1224,1.25,25.0,60.0,50.8755,0.4166666666666667
training,2018-09-21 04:09:06.955940,thanos::sroute:c12bc563-8a95-420f-87fa-41779eeadeb6,Carting,trip-153750294695556943,IND401501AAA,Boisar_OstwlEmp_D (Maharashtra),IND401602AAA,Dahanu_KetyDPP_D (Maharashtra),2018-09-21 04:09:06.955940,2018-09-21 06:06:55.011209,117.0,True,18,2018-09-21 05:17:56,18.18866727981667,48.0,24.0,26.2305,2.0,28.0,11.0,11.9282,2.5454545454545454
test,2018-09-29 15:03:01.262701,thanos::sroute:80bf5118-9538-4509-9d53-679a0c5f5e59,Carting,trip-153823338126246789,IND600016AAB,Chennai_Alandur_C (Tamil Nadu),IND600044AAC,Chennai_Chrompet_PC (Tamil Nadu),2018-09-29 15:03:01.262701,2018-09-29 17:31:04.504350,148.0,True,27,2018-09-29 16:26:30,27.485261703865,60.0,29.0,33.967800000000004,2.0689655172413794,27.0,11.0,12.1704,2.4545454545454546
training,2018-09-17 02:03:52.676884,thanos::sroute:ee1471ae-09d5-462c-851c-8a03020c6ec7,Carting,trip-153714983267647379,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110095AAB,Delhi_Jhilmil_L (Delhi),2018-09-17 02:03:52.676884,2018-09-17 08:09:43.157332,365.0,True,27,2018-09-17 05:47:17,27.64700242040349,122.0,40.0,33.140699999999995,3.05,62.0,32.0,30.4176,1.9375
test,2018-09-30 01:11:13.083938,thanos::sroute:c169504b-1d9c-420a-ab80-e7d96c017c76,Carting,trip-153826987308367509,IND792103AAB,Namsai_HelipadRD_D (Arunachal Pradesh),IND792001AAA,Tezu_Farmnala_D (Arunachal Pradesh),2018-10-01 05:23:57.671814,2018-10-01 06:47:36.571861,83.0,True,9,2018-10-01 06:31:53,10.335689367183225,11.0,8.0,11.9925,1.375,11.0,8.0,11.9925,1.375
test,2018-09-27 14:41:36.457278,thanos::sroute:3592c86e-c3d1-429b-917a-ebe9051215dc,FTL,trip-153805929645698249,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),2018-09-29 18:54:31.061435,2018-10-02 02:57:37.791139,3363.0,True,1210,2018-09-30 13:44:29,1210.2148524515185,2178.0,1081.0,1472.8136000000002,2.014801110083256,57.0,92.0,87.37389999999999,0.6195652173913043
test,2018-10-01 18:43:19.345199,thanos::sroute:162f9a67-5ebe-4338-8450-1c6d57d2c7b1,FTL,trip-153841939934496849,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),2018-10-02 04:31:13.185713,2018-10-03 22:54:11.901778,2542.0,False,1300,2018-10-02 05:50:49,1300.7106019093876,2318.0,1016.0,1428.0634,2.281496062992126,0.0,0.0,0.6641,-1.0
training,2018-09-15 22:56:14.201353,thanos::sroute:bcce7b68-e962-4a29-af24-167e3e926d04,FTL,trip-153705217420105354,IND781018AAB,Guwahati_Hub (Assam),IND110037AAM,Delhi_Airport_H (Delhi),2018-09-15 22:56:14.201353,2018-09-18 09:26:27.090338,3510.0,True,1386,2018-09-16 03:55:25,1386.0979764067522,3203.0,1231.0,1691.0329,2.601949634443542,35.0,21.0,30.8678,1.6666666666666667
training,2018-09-16 01:51:04.624209,thanos::sroute:15c921f8-8a40-44cc-95ac-59f93d25f780,FTL,trip-153706266462398194,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND751002AAB,Bhubaneshwar_Hub (Orissa),2018-09-16 01:51:04.624209,2018-09-17 17:27:23.983799,2376.0,True,22,2018-09-17 16:48:03,22.20013155850276,25.0,17.0,25.1922,1.4705882352941178,25.0,17.0,25.1922,1.4705882352941178
test,2018-10-01 19:34:53.465205,thanos::sroute:366da0f3-1979-4793-973f-27da63568435,FTL,trip-153842249346496633,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND411033AAA,Pune_Tathawde_H (Maharashtra),2018-10-02 06:28:15.848650,2018-10-03 04:34:08.141659,1325.0,True,572,2018-10-02 14:44:30,573.8775624036667,819.0,492.0,674.312,1.6646341463414631,33.0,19.0,28.2634,1.736842105263158
training,2018-09-13 21:02:24.789589,thanos::sroute:b692be92-80ce-4280-989f-5d98ecab059c,Carting,trip-153687254478933100,IND742401AAA,Ghanashyampur_NditaDPP_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),2018-09-14 03:19:43.666027,2018-09-14 07:40:03.309858,260.0,False,41,2018-09-14 03:20:11.643225,41.00203641408053,223.0,66.0,59.1844,3.378787878787879,51.0,4.0,4.1792,12.75
training,2018-09-21 01:01:47.490194,thanos::sroute:d0cd2cb2-ce42-4103-b999-f8899e9440f7,FTL,trip-153749170748984950,IND431603AAA,Nanded_Aswningr_I (Maharashtra),IND431708AAA,Loha_SivjiCWK_D (Maharashtra),2018-09-21 01:01:47.490194,2018-09-21 02:46:49.051609,105.0,True,22,2018-09-21 02:13:18,24.34029914112964,33.0,17.0,24.743,1.9411764705882355,33.0,17.0,24.743,1.9411764705882355
